# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.00298507     -8.109950e-03 4.810741e-01 -1.473584e-24 -8.110130e-03 4.782198e-01 0.000000e+00 1.792522e-07 2.854259e-03 -1.473584e-24
0.0043438      2.082079e-02 -3.854425e-01 -2.057947e-24 2.082099e-02 -3.889979e-01 0.000000e+00 -2.067273e-07 3.555411e-03 -2.057947e-24
0.00555905     8.338773e-03 -2.591471e-01 -2.277094e-24 8.339024e-03 -2.632902e-01 0.000000e+00 -2.506846e-07 4.143034e-03 -2.277094e-24
0.00671644     4.200075e-03 -1.733996e-01 -2.412039e-24 4.200154e-03 -1.780639e-01 0.000000e+00 -7.875434e-08 4.664340e-03 -2.412039e-24
0.00777844     2.549552e-03 -2.085922e-01 -2.469873e-24 2.549495e-03 -2.137316e-01 0.000000e+00 5.729664e-08 5.139348e-03 -2.469873e-24
0.00875916     2.256795e-03 -2.279136e-01 -2.532173e-24 2.256586e-03 -2.335094e-01 0.000000e+00 2.097562e-07 5.595750e-03 -2.532173e-24
0.00968751     2.890310e-03 -2.000617e-01 -2.599963e-24 2.889972e-03 -2.061105e-01 0.000000e+00 3.380986e-07 6.048744e-03 -2.599963e-24
0.0105727      2.581399e-03 -1.752049e-01 -2.709956e-24 2.580880e-03 -1.817012e-01 0.000000e+00 5.189494e-07 6.496367e-03 -2.709956e-24
0.0114221      3.126778e-03 -1.030691e-01 -2.855623e-24 3.126043e-03 -1.100046e-01 0.000000e+00 7.345501e-07 6.935467e-03 -2.855623e-24
0.0122456      3.061871e-03 -6.340358e-02 -3.019245e-24 3.060926e-03 -7.076892e-02 0.000000e+00 9.450480e-07 7.365339e-03 -3.019245e-24
0.0130446      3.017382e-03 -3.374874e-02 -3.201189e-24 3.016172e-03 -4.154810e-02 0.000000e+00 1.209394e-06 7.799366e-03 -3.201189e-24
0.0138236      3.690513e-03 3.390252e-02 -3.415049e-24 3.689183e-03 2.574419e-02 0.000000e+00 1.329846e-06 8.158332e-03 -3.415049e-24
0.0145897      4.410775e-03 9.776612e-02 -3.688972e-24 4.409371e-03 8.942402e-02 0.000000e+00 1.403857e-06 8.342099e-03 -3.688972e-24
0.0153343      5.059218e-03 9.767667e-02 -3.977688e-24 5.057755e-03 8.917240e-02 0.000000e+00 1.463053e-06 8.504273e-03 -3.977688e-24
0.0160557      5.430375e-03 1.281572e-01 -4.301097e-24 5.428800e-03 1.194750e-01 0.000000e+00 1.575457e-06 8.682172e-03 -4.301097e-24
0.0167578      4.835578e-03 1.682293e-01 -4.656000e-24 4.833825e-03 1.593674e-01 0.000000e+00 1.753695e-06 8.861815e-03 -4.656000e-24
0.0174441      3.867245e-03 2.124319e-01 -5.019473e-24 3.865326e-03 2.033987e-01 0.000000e+00 1.919070e-06 9.033160e-03 -5.019473e-24
0.0181152      5.536082e-03 2.112645e-01 -5.373561e-24 5.534010e-03 2.020680e-01 0.000000e+00 2.072174e-06 9.196503e-03 -5.373561e-24
0.0187742      5.513030e-03 2.344274e-01 -5.738877e-24 5.510791e-03 2.250672e-01 0.000000e+00 2.239750e-06 9.360154e-03 -5.738877e-24
0.0194238      5.262975e-03 2.499631e-01 -6.112523e-24 5.260581e-03 2.404446e-01 0.000000e+00 2.393095e-06 9.518482e-03 -6.112523e-24
0.0200641      5.525458e-03 2.825396e-01 -6.485696e-24 5.522856e-03 2.728968e-01 0.000000e+00 2.602469e-06 9.642771e-03 -6.485696e-24
0.0206977      5.224894e-03 3.016439e-01 -6.861633e-24 5.222071e-03 2.918973e-01 0.000000e+00 2.822918e-06 9.746526e-03 -6.861633e-24
0.0213246      5.202445e-03 3.372288e-01 -7.232675e-24 5.199403e-03 3.273901e-01 0.000000e+00 3.042104e-06 9.838720e-03 -7.232675e-24
0.0219472      6.166589e-03 3.738108e-01 -7.599029e-24 6.163241e-03 3.638877e-01 0.000000e+00 3.348143e-06 9.923095e-03 -7.599029e-24
