# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
2.00161        6.781528e-01 5.378169e-01 1.321925e-24 6.781769e-01 5.329178e-01 0.000000e+00 -2.411389e-05 4.899037e-03 1.321925e-24
2.00323        6.755919e-01 5.196038e-01 1.394392e-24 6.756233e-01 5.147664e-01 0.000000e+00 -3.143267e-05 4.837459e-03 1.394392e-24
2.00483        6.688857e-01 5.128034e-01 1.460423e-24 6.689226e-01 5.080148e-01 0.000000e+00 -3.684107e-05 4.788613e-03 1.460423e-24
2.00641        6.530012e-01 3.980459e-01 1.536126e-24 6.530426e-01 3.932890e-01 0.000000e+00 -4.141136e-05 4.756878e-03 1.536126e-24
2.00799        6.511483e-01 3.150972e-01 1.647458e-24 6.511953e-01 3.103827e-01 0.000000e+00 -4.696840e-05 4.714490e-03 1.647458e-24
2.00956        6.576848e-01 3.642125e-01 1.751961e-24 6.577320e-01 3.595548e-01 0.000000e+00 -4.724604e-05 4.657722e-03 1.751961e-24
2.01111        6.617893e-01 4.559634e-01 1.845813e-24 6.618345e-01 4.513702e-01 0.000000e+00 -4.519959e-05 4.593229e-03 1.845813e-24
2.01263        6.698712e-01 3.827729e-01 1.966239e-24 6.699111e-01 3.782542e-01 0.000000e+00 -3.994678e-05 4.518705e-03 1.966239e-24
2.01412        6.787198e-01 2.624608e-01 2.076942e-24 6.787506e-01 2.580183e-01 0.000000e+00 -3.080764e-05 4.442530e-03 2.076942e-24
2.01558        6.841961e-01 1.053467e-01 2.164227e-24 6.842136e-01 1.009838e-01 0.000000e+00 -1.746886e-05 4.362954e-03 2.164227e-24
2.01701        6.890480e-01 1.087664e-01 2.234393e-24 6.890488e-01 1.044832e-01 0.000000e+00 -7.289927e-07 4.283112e-03 2.234393e-24
2.01841        6.977640e-01 1.195481e-01 2.306790e-24 6.977501e-01 1.153584e-01 0.000000e+00 1.387013e-05 4.189699e-03 2.306790e-24
