# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
2.00161        2.490301e-24 -3.944650e-23 1.584960e+01 0.000000e+00 0.000000e+00 1.569835e+01 2.490301e-24 -3.944650e-23 1.512503e-01
2.00323        2.627011e-24 -4.171190e-23 1.531408e+01 0.000000e+00 0.000000e+00 1.516470e+01 2.627011e-24 -4.171190e-23 1.493801e-01
2.00483        2.751802e-24 -4.376255e-23 1.509960e+01 0.000000e+00 0.000000e+00 1.495170e+01 2.751802e-24 -4.376255e-23 1.478996e-01
2.00641        2.895349e-24 -4.610757e-23 1.161515e+01 0.000000e+00 0.000000e+00 1.146820e+01 2.895349e-24 -4.610757e-23 1.469490e-01
2.00799        3.106727e-24 -4.953711e-23 9.085747e+00 0.000000e+00 0.000000e+00 8.940088e+00 3.106727e-24 -4.953711e-23 1.456592e-01
2.00956        3.303983e-24 -5.273978e-23 1.065526e+01 0.000000e+00 0.000000e+00 1.051135e+01 3.303983e-24 -5.273978e-23 1.439111e-01
2.01111        3.480787e-24 -5.560139e-23 1.351167e+01 0.000000e+00 0.000000e+00 1.336976e+01 3.480787e-24 -5.560139e-23 1.419159e-01
2.01263        3.707785e-24 -5.928355e-23 1.125953e+01 0.000000e+00 0.000000e+00 1.111994e+01 3.707785e-24 -5.928355e-23 1.395953e-01
2.01412        3.915983e-24 -6.265726e-23 7.511734e+00 0.000000e+00 0.000000e+00 7.374524e+00 3.915983e-24 -6.265726e-23 1.372100e-01
2.01558        4.079641e-24 -6.530580e-23 2.623561e+00 0.000000e+00 0.000000e+00 2.488852e+00 4.079641e-24 -6.530580e-23 1.347087e-01
2.01701        4.210945e-24 -6.743718e-23 2.657024e+00 0.000000e+00 0.000000e+00 2.524832e+00 4.210945e-24 -6.743718e-23 1.321919e-01
2.01841        4.346006e-24 -6.964232e-23 2.917687e+00 0.000000e+00 0.000000e+00 2.788436e+00 4.346006e-24 -6.964232e-23 1.292503e-01
2.01977        4.480298e-24 -7.181757e-23 2.277519e+00 0.000000e+00 0.000000e+00 2.151395e+00 4.480298e-24 -7.181757e-23 1.261237e-01
2.02111        4.659768e-24 -7.469671e-23 2.616996e+00 0.000000e+00 0.000000e+00 2.494530e+00 4.659768e-24 -7.469671e-23 1.224660e-01
2.02241        4.814014e-24 -7.715025e-23 5.062851e+00 0.000000e+00 0.000000e+00 4.943756e+00 4.814014e-24 -7.715025e-23 1.190956e-01
2.0237         4.904292e-24 -7.853077e-23 7.162054e+00 0.000000e+00 0.000000e+00 7.045456e+00 4.904292e-24 -7.853077e-23 1.165978e-01
2.025          4.883595e-24 -7.804433e-23 9.125328e+00 0.000000e+00 0.000000e+00 9.010533e+00 4.883595e-24 -7.804433e-23 1.147954e-01
2.02631        4.822021e-24 -7.689400e-23 1.267210e+01 0.000000e+00 0.000000e+00 1.255900e+01 4.822021e-24 -7.689400e-23 1.131025e-01
2.02762        4.783437e-24 -7.614781e-23 1.006211e+01 0.000000e+00 0.000000e+00 9.950210e+00 4.783437e-24 -7.614781e-23 1.119010e-01
