# y+ ()       
# Time        	patch         	min           	max           	average       
0.00298507    	BOTTOM	1.832447e-06	4.009962e+00	2.428613e-01
0.00298507    	WALL	2.910521e-03	6.696825e+00	8.476792e-01
0.0043438     	BOTTOM	5.098869e-07	5.222893e+00	3.452991e-01
0.0043438     	WALL	3.304145e-03	7.844762e+00	9.603744e-01
0.00555905    	BOTTOM	7.405898e-07	5.751831e+00	4.125193e-01
0.00555905    	WALL	3.466659e-03	8.833099e+00	1.049385e+00
0.00671644    	BOTTOM	7.084573e-07	6.268217e+00	4.778415e-01
0.00671644    	WALL	3.544048e-03	9.700562e+00	1.123306e+00
0.00777844    	BOTTOM	4.900614e-07	6.698969e+00	5.345812e-01
0.00777844    	WALL	3.556951e-03	1.040583e+01	1.184612e+00
0.00875916    	BOTTOM	3.797282e-07	7.078118e+00	5.860541e-01
0.00875916    	WALL	3.545402e-03	1.103004e+01	1.238914e+00
0.00968751    	BOTTOM	4.038686e-07	7.422675e+00	6.333824e-01
0.00968751    	WALL	3.518803e-03	1.160880e+01	1.289538e+00
0.0105727     	BOTTOM	6.911291e-07	7.736906e+00	6.769675e-01
0.0105727     	WALL	3.446915e-03	1.212192e+01	1.338046e+00
0.0114221     	BOTTOM	5.736664e-07	8.027406e+00	7.175747e-01
0.0114221     	WALL	3.382320e-03	1.254969e+01	1.384943e+00
0.0122456     	BOTTOM	9.384989e-07	8.300410e+00	7.557102e-01
0.0122456     	WALL	3.351672e-03	1.288816e+01	1.431369e+00
0.0130446     	BOTTOM	5.651271e-07	8.556607e+00	7.915663e-01
0.0130446     	WALL	3.348533e-03	1.375677e+01	1.477051e+00
0.0138236     	BOTTOM	7.530968e-07	8.799686e+00	8.255362e-01
0.0138236     	WALL	3.367436e-03	1.467468e+01	1.523544e+00
0.0145897     	BOTTOM	3.419821e-07	9.033331e+00	8.578984e-01
0.0145897     	WALL	3.397607e-03	1.540869e+01	1.571604e+00
0.0153343     	BOTTOM	6.992772e-07	9.252599e+00	8.885130e-01
0.0153343     	WALL	3.418254e-03	1.599625e+01	1.615269e+00
0.0160557     	BOTTOM	5.843743e-07	9.460204e+00	9.176213e-01
0.0160557     	WALL	3.471752e-03	1.711904e+01	1.653652e+00
0.0167578     	BOTTOM	4.915845e-07	9.658457e+00	9.454422e-01
0.0167578     	WALL	3.482980e-03	1.820721e+01	1.687638e+00
0.0174441     	BOTTOM	4.243372e-07	9.848670e+00	9.720655e-01
0.0174441     	WALL	3.508284e-03	1.906648e+01	1.717761e+00
0.0181152     	BOTTOM	1.439241e-07	1.003107e+01	9.975261e-01
0.0181152     	WALL	3.530485e-03	1.974198e+01	1.743880e+00
0.0187742     	BOTTOM	5.692177e-07	1.020743e+01	1.021941e+00
0.0187742     	WALL	3.530215e-03	2.027910e+01	1.767144e+00
0.0194238     	BOTTOM	1.348560e-07	1.037857e+01	1.045402e+00
0.0194238     	WALL	3.518504e-03	2.068500e+01	1.788529e+00
0.0200641     	BOTTOM	5.432500e-07	1.054443e+01	1.067987e+00
0.0200641     	WALL	3.514841e-03	2.093377e+01	1.812566e+00
0.0206977     	BOTTOM	2.670366e-07	1.070642e+01	1.089793e+00
0.0206977     	WALL	3.491534e-03	2.107790e+01	1.837790e+00
0.0213246     	BOTTOM	4.558416e-07	1.086418e+01	1.110912e+00
0.0213246     	WALL	3.461703e-03	2.114457e+01	1.863219e+00
0.0219472     	BOTTOM	5.345270e-07	1.101885e+01	1.131358e+00
0.0219472     	WALL	3.418716e-03	2.115637e+01	1.887831e+00
0.0225654     	BOTTOM	2.719989e-07	1.117019e+01	1.151216e+00
0.0225654     	WALL	3.388411e-03	2.112488e+01	1.911069e+00
0.0231815     	BOTTOM	6.814924e-08	1.131938e+01	1.170500e+00
0.0231815     	WALL	3.355879e-03	2.106465e+01	1.932752e+00
0.0237877     	BOTTOM	9.517388e-08	1.146276e+01	1.189137e+00
0.0237877     	WALL	3.317007e-03	2.098489e+01	1.952544e+00
0.0243938     	BOTTOM	4.317788e-07	1.160656e+01	1.207286e+00
0.0243938     	WALL	3.283260e-03	2.088507e+01	1.970692e+00
0.025         	BOTTOM	1.736513e-07	1.174779e+01	1.224936e+00
0.025         	WALL	3.245750e-03	2.076146e+01	1.987376e+00
0.025614      	BOTTOM	2.721054e-07	1.189071e+01	1.242198e+00
0.025614      	WALL	3.227071e-03	2.062054e+01	2.003351e+00
0.0262238     	BOTTOM	1.436847e-07	1.202832e+01	1.258935e+00
0.0262238     	WALL	3.196108e-03	2.046747e+01	2.018247e+00
0.0268293     	BOTTOM	1.879380e-07	1.216432e+01	1.275170e+00
0.0268293     	WALL	3.192787e-03	2.039293e+01	2.030748e+00
0.0274306     	BOTTOM	3.502161e-07	1.229752e+01	1.290941e+00
0.0274306     	WALL	3.174544e-03	2.090711e+01	2.044608e+00
0.0280256     	BOTTOM	2.909947e-07	1.247077e+01	1.306175e+00
0.0280256     	WALL	3.155426e-03	2.133753e+01	2.059946e+00
0.0286146     	BOTTOM	4.964071e-07	1.264169e+01	1.320885e+00
0.0286146     	WALL	3.142920e-03	2.167569e+01	2.077166e+00
0.0292015     	BOTTOM	1.997812e-07	1.280976e+01	1.335114e+00
0.0292015     	WALL	3.151679e-03	2.192798e+01	2.095048e+00
0.0297864     	BOTTOM	1.176700e-07	1.297498e+01	1.348734e+00
0.0297864     	WALL	3.156337e-03	2.210437e+01	2.112905e+00
0.0303714     	BOTTOM	2.819309e-07	1.313704e+01	1.361652e+00
0.0303714     	WALL	3.163790e-03	2.221891e+01	2.130465e+00
0.0309543     	BOTTOM	2.700352e-07	1.329641e+01	1.373318e+00
0.0309543     	WALL	3.171132e-03	2.227942e+01	2.147043e+00
0.0315372     	BOTTOM	3.526617e-07	1.345304e+01	1.386464e+00
0.0315372     	WALL	3.167901e-03	2.229587e+01	2.162375e+00
0.0321221     	BOTTOM	3.803225e-07	1.360755e+01	1.402534e+00
0.0321221     	WALL	3.160170e-03	2.227342e+01	2.176803e+00
0.0327071     	BOTTOM	4.743721e-07	1.375987e+01	1.418636e+00
0.0327071     	WALL	3.141643e-03	2.222190e+01	2.190286e+00
0.033292      	BOTTOM	1.791697e-07	1.391098e+01	1.434635e+00
0.033292      	WALL	3.130607e-03	2.214575e+01	2.203052e+00
0.033877      	BOTTOM	3.529141e-07	1.406002e+01	1.450512e+00
0.033877      	WALL	3.119898e-03	2.205017e+01	2.214895e+00
0.034464      	BOTTOM	9.935739e-08	1.420725e+01	1.466326e+00
0.034464      	WALL	3.111417e-03	2.193849e+01	2.226189e+00
0.0350531     	BOTTOM	1.382254e-07	1.435267e+01	1.482059e+00
0.0350531     	WALL	3.104855e-03	2.181257e+01	2.238320e+00
0.0356443     	BOTTOM	3.026862e-07	1.449646e+01	1.497702e+00
0.0356443     	WALL	3.107282e-03	2.167471e+01	2.252470e+00
0.0362376     	BOTTOM	3.031352e-07	1.463868e+01	1.513265e+00
0.0362376     	WALL	3.048574e-03	2.152548e+01	2.267876e+00
0.0368246     	BOTTOM	3.770175e-07	1.477936e+01	1.528667e+00
0.0368246     	WALL	2.968248e-03	2.137061e+01	2.283612e+00
0.0374073     	BOTTOM	9.493064e-08	1.491862e+01	1.543944e+00
0.0374073     	WALL	2.895640e-03	2.121384e+01	2.299136e+00
0.037986      	BOTTOM	1.138552e-07	1.505631e+01	1.559082e+00
0.037986      	WALL	2.823722e-03	2.106699e+01	2.314309e+00
0.0385625     	BOTTOM	1.507405e-07	1.519293e+01	1.574129e+00
0.0385625     	WALL	2.792941e-03	2.095222e+01	2.328741e+00
0.039137      	BOTTOM	4.023597e-07	1.532818e+01	1.589039e+00
0.039137      	WALL	2.781704e-03	2.086570e+01	2.342331e+00
0.0397115     	BOTTOM	4.355680e-07	1.546190e+01	1.603836e+00
0.0397115     	WALL	2.753297e-03	2.094501e+01	2.355093e+00
0.0402861     	BOTTOM	4.293062e-07	1.559413e+01	1.618511e+00
0.0402861     	WALL	2.728001e-03	2.101085e+01	2.367028e+00
0.0408626     	BOTTOM	8.805845e-08	1.572497e+01	1.633096e+00
0.0408626     	WALL	2.669557e-03	2.105804e+01	2.378274e+00
0.0414413     	BOTTOM	2.959985e-07	1.585451e+01	1.647638e+00
0.0414413     	WALL	2.612271e-03	2.108534e+01	2.389032e+00
0.0420221     	BOTTOM	1.831595e-07	1.598288e+01	1.662120e+00
0.0420221     	WALL	2.574312e-03	2.109701e+01	2.399614e+00
0.0426072     	BOTTOM	2.324892e-07	1.611010e+01	1.676531e+00
0.0426072     	WALL	2.533769e-03	2.109745e+01	2.410373e+00
0.0431945     	BOTTOM	2.408234e-07	1.623633e+01	1.690874e+00
