# y+ ()       
# Time        	patch         	min           	max           	average       
2.00161       	BOTTOM	9.000019e-06	1.045837e+02	1.744997e+01
2.00161       	WALL	6.092217e-03	2.044585e+01	4.103724e+00
2.00323       	BOTTOM	7.815633e-06	1.045833e+02	1.744798e+01
2.00323       	WALL	1.793534e-03	2.057444e+01	4.096507e+00
2.00483       	BOTTOM	2.283869e-05	1.045978e+02	1.745272e+01
2.00483       	WALL	6.231230e-03	2.071644e+01	4.093592e+00
2.00641       	BOTTOM	2.287340e-05	1.046111e+02	1.745683e+01
2.00641       	WALL	5.108564e-03	2.087612e+01	4.094261e+00
2.00799       	BOTTOM	1.440417e-05	1.046258e+02	1.746145e+01
2.00799       	WALL	3.739869e-03	2.098582e+01	4.097370e+00
2.00956       	BOTTOM	3.346477e-05	1.046407e+02	1.746612e+01
2.00956       	WALL	6.924367e-03	2.094526e+01	4.097647e+00
2.01111       	BOTTOM	2.980328e-05	1.046556e+02	1.747082e+01
2.01111       	WALL	5.729120e-03	2.083797e+01	4.095241e+00
2.01263       	BOTTOM	3.028017e-05	1.046701e+02	1.747552e+01
2.01263       	WALL	3.553788e-03	2.079064e+01	4.093095e+00
2.01412       	BOTTOM	1.607420e-05	1.046881e+02	1.748061e+01
2.01412       	WALL	1.831459e-03	2.072246e+01	4.091490e+00
2.01558       	BOTTOM	4.418312e-05	1.047054e+02	1.748552e+01
2.01558       	WALL	4.744116e-03	2.070956e+01	4.086071e+00
2.01701       	BOTTOM	2.777775e-05	1.047214e+02	1.749022e+01
2.01701       	WALL	6.198945e-03	2.065910e+01	4.077958e+00
2.01841       	BOTTOM	4.144415e-05	1.047364e+02	1.749475e+01
2.01841       	WALL	7.184965e-03	2.051883e+01	4.072536e+00
2.01977       	BOTTOM	9.386329e-06	1.047508e+02	1.749926e+01
2.01977       	WALL	6.193578e-03	2.051898e+01	4.065968e+00
2.02111       	BOTTOM	1.183852e-05	1.047646e+02	1.750374e+01
2.02111       	WALL	4.614081e-03	2.044255e+01	4.057000e+00
2.02241       	BOTTOM	1.701181e-05	1.047782e+02	1.750814e+01
2.02241       	WALL	1.226540e-03	2.037471e+01	4.045238e+00
2.0237        	BOTTOM	1.768237e-05	1.047911e+02	1.751239e+01
2.0237        	WALL	5.076857e-03	2.045684e+01	4.031780e+00
2.025         	BOTTOM	9.186039e-06	1.048037e+02	1.751658e+01
2.025         	WALL	7.156212e-03	2.050046e+01	4.019974e+00
2.02631       	BOTTOM	4.023953e-05	1.048159e+02	1.752063e+01
2.02631       	WALL	4.858611e-03	2.041877e+01	4.008873e+00
2.02762       	BOTTOM	1.600045e-05	1.048283e+02	1.752505e+01
2.02762       	WALL	2.007250e-03	2.024517e+01	3.997885e+00
2.02896       	BOTTOM	5.064897e-06	1.048440e+02	1.752932e+01
2.02896       	WALL	5.755733e-03	2.019881e+01	3.988822e+00
2.03033       	BOTTOM	9.053896e-06	1.048590e+02	1.753350e+01
2.03033       	WALL	6.536075e-03	2.011815e+01	3.978231e+00
2.03175       	BOTTOM	5.919840e-06	1.048732e+02	1.753765e+01
2.03175       	WALL	3.808280e-03	2.041815e+01	3.964545e+00
2.03327       	BOTTOM	4.237807e-05	1.048874e+02	1.754191e+01
2.03327       	WALL	2.548271e-03	2.065190e+01	3.950779e+00
2.03492       	BOTTOM	1.778403e-05	1.049018e+02	1.754641e+01
2.03492       	WALL	4.334802e-03	2.069583e+01	3.933310e+00
2.03655       	BOTTOM	9.264572e-06	1.049168e+02	1.755140e+01
2.03655       	WALL	2.730710e-03	2.066724e+01	3.907662e+00
2.03816       	BOTTOM	8.316920e-06	1.049313e+02	1.755645e+01
2.03816       	WALL	3.785977e-03	2.066253e+01	3.887172e+00
2.03974       	BOTTOM	4.655885e-05	1.049452e+02	1.756157e+01
2.03974       	WALL	6.162361e-03	2.033038e+01	3.871044e+00
2.04133       	BOTTOM	3.150245e-05	1.049593e+02	1.756672e+01
2.04133       	WALL	7.065757e-03	2.008653e+01	3.851754e+00
2.04292       	BOTTOM	1.681962e-05	1.049773e+02	1.757219e+01
2.04292       	WALL	5.606727e-03	1.988975e+01	3.835371e+00
2.04452       	BOTTOM	8.823000e-06	1.049938e+02	1.757771e+01
2.04452       	WALL	3.826998e-03	1.975117e+01	3.820479e+00
2.04612       	BOTTOM	2.823283e-05	1.050092e+02	1.758331e+01
2.04612       	WALL	2.568845e-03	1.998098e+01	3.807661e+00
2.04806       	BOTTOM	2.967808e-05	1.050242e+02	1.758934e+01
2.04806       	WALL	3.107303e-03	2.010715e+01	3.792721e+00
2.05          	BOTTOM	1.426014e-05	1.050411e+02	1.759609e+01
2.05          	WALL	2.866414e-03	2.015816e+01	3.779941e+00
2.0516        	BOTTOM	1.579868e-05	1.050571e+02	1.760233e+01
2.0516        	WALL	2.919287e-03	2.014573e+01	3.771031e+00
2.05317       	BOTTOM	1.484810e-05	1.050707e+02	1.760804e+01
2.05317       	WALL	3.403688e-03	2.008459e+01	3.773063e+00
2.05475       	BOTTOM	2.856854e-05	1.050844e+02	1.761376e+01
2.05475       	WALL	3.733093e-03	1.999842e+01	3.775410e+00
2.05639       	BOTTOM	2.318390e-05	1.051016e+02	1.761959e+01
2.05639       	WALL	4.788716e-03	1.989471e+01	3.773135e+00
